Avg Time: 
0--|---1--|---2--|---3--|---4--|---5--|---6--|---7--|---8--|---9--|---10--| 
1: | 0.0 | 55.0 | 39.0 | 44.0 | 36.0 | 37.0 | 41.0 | 46.0 | 39.0 | 33.0 | 
2: | 38.0 | 0.0 | 49.0 | 33.0 | 48.0 | 39.0 | 38.0 | 42.0 | 42.0 | 34.0 | 
3: | 44.0 | 34.0 | 0.0 | 51.0 | 40.0 | 35.0 | 38.0 | 38.0 | 36.0 | 29.0 | 
4: | 38.0 | 36.0 | 35.0 | 0.0 | 35.0 | 33.0 | 44.0 | 51.0 | 41.0 | 36.0 | 
5: | 46.0 | 44.0 | 41.0 | 42.0 | 0.0 | 33.0 | 38.0 | 23.0 | 39.0 | 32.0 | 
6: | 34.0 | 43.0 | 45.0 | 30.0 | 35.0 | 0.0 | 35.0 | 33.0 | 27.0 | 29.0 | 
7: | 38.0 | 37.0 | 41.0 | 37.0 | 36.0 | 36.0 | 0.0 | 33.0 | 42.0 | 38.0 | 
8: | 37.0 | 50.0 | 28.0 | 34.0 | 25.0 | 43.0 | 30.0 | 0.0 | 43.0 | 41.0 | 
9: | 49.0 | 37.0 | 36.0 | 51.0 | 42.0 | 34.0 | 39.0 | 36.0 | 0.0 | 39.0 | 
10: | 34.0 | 29.0 | 38.0 | 37.0 | 42.0 | 37.0 | 38.0 | 21.0 | 36.0 | 0.0 | 
====================================================================
Customer number: 
0		1	2	3	4	5	6	7	8	9	10	Total 
1:		0	5	12	9	11	9	18	9	13	14	100	
2:		13	0	6	13	12	13	33	15	13	13	131	
3:		11	12	0	15	10	17	32	16	15	7	135	
4:		9	16	12	0	11	15	23	8	11	13	118	
5:		10	15	14	11	0	13	26	10	10	15	124	
6:		8	15	11	13	15	0	31	15	12	9	129	
7:		16	32	36	22	31	25	0	34	29	22	247	
8:		17	13	20	9	8	9	27	0	10	12	125	
9:		5	17	11	10	12	16	31	10	0	17	129	
10:		11	6	13	16	14	12	26	8	16	0	122	
Total: 100	131	135	118	124	129	247	125	129	122	0	
